,Cluster_ID,Method_Name
0,0,reset
1,0,getRecognizedFeatures
2,0,setFeature
3,0,getRecognizedProperties
4,0,setProperty
5,0,getFeatureDefault
6,0,getPropertyDefault
7,0,setDocumentHandler
8,0,getDocumentHandler
9,0,startDocument
10,0,xmlDecl
11,0,doctypeDecl
12,0,comment
13,0,processingInstruction
14,0,startElement
15,0,emptyElement
16,0,endElement
17,0,startGeneralEntity
18,0,textDecl
19,0,endGeneralEntity
20,0,characters
21,0,ignorableWhitespace
22,0,startCDATA
23,0,endCDATA
24,0,endDocument
25,0,setDocumentSource
26,0,getDocumentSource
27,0,attributeDecl
28,0,elementDecl
29,0,endAttlist
30,0,endConditional
31,0,endDTD
32,0,endExternalSubset
33,0,endParameterEntity
34,0,externalEntityDecl
35,0,getDTDSource
36,0,ignoredCharacters
37,0,internalEntityDecl
38,0,notationDecl
39,0,setDTDSource
40,0,startAttlist
41,0,startConditional
42,0,startDTD
43,0,startExternalSubset
44,0,startParameterEntity
45,0,unparsedEntityDecl
46,0,getDTDHandler
47,0,setDTDHandler
48,0,setErrorReporter
49,0,handleFallbackElement
50,1,handleIncludeElement
51,0,hasXIncludeNamespace
52,0,isIncludeElement
53,0,isFallbackElement
54,0,sameBaseURIAsIncludeParent
55,0,sameLanguageAsIncludeParent
56,0,setupCurrentBaseURI
57,0,searchForRecursiveIncludes
58,0,isTopLevelIncludedItem
59,0,isTopLevelIncludedItemViaInclude
60,0,isTopLevelIncludedItemViaFallback
61,0,processAttributes
62,0,getRelativeBaseURI
63,0,getIncludeParentBaseURI
64,0,getIncludeParentLanguage
65,0,getIncludeParentDepth
66,0,getResultDepth
67,0,modifyAugmentations
68,0,getState
69,0,setState
70,0,setSawFallback
71,0,getSawFallback
72,0,setSawInclude
73,0,getSawInclude
74,0,reportResourceError
75,0,reportFatalError
76,0,reportError
77,0,setParent
78,0,setHref
79,0,setXIncludeLocator
80,0,isRootDocument
81,0,addUnparsedEntity
82,0,addNotation
83,0,checkUnparsedEntity
84,0,checkNotation
85,0,checkAndSendUnparsedEntity
86,0,checkAndSendNotation
87,0,checkWhitespace
88,0,checkMultipleRootElements
89,0,setRootElementProcessed
90,0,getRootElementProcessed
91,0,copyFeatures
92,0,copyFeatures1
93,0,equals
94,0,isDuplicate
95,0,isEqual
96,0,saveBaseURI
97,0,restoreBaseURI
98,0,saveLanguage
99,0,restoreLanguage
100,0,getBaseURI
101,0,getLanguage
102,0,getRelativeURI
103,0,scopeOfBaseURI
104,0,scopeOfLanguage
105,0,processXMLBaseAttributes
106,0,processXMLLangAttributes
107,0,isValidInHTTPHeader
108,0,createInputSource
109,0,escapeHref
