,Cluster_ID,Method_Name
0,1,null2EmptyString
1,1,emptyString2Null
2,1,doc2SystemId
3,2,parseSchema
4,0,validateAnnotations
5,1,createAnnotationValidator
6,1,getGrammar
7,1,findGrammar
8,3,constructTrees
9,1,isExistingGrammar
10,0,updateImportListFor
11,0,updateImportListWith
12,0,buildGlobalNameRegistries
13,0,traverseSchemas
14,1,needReportTNSError
15,1,addGlobalAttributeDecl
16,1,addGlobalAttributeGroupDecl
17,1,addGlobalElementDecl
18,1,addGlobalGroupDecl
19,1,addGlobalNotationDecl
20,1,addGlobalTypeDecl
21,1,addIDConstraintDecl
22,1,getGlobalAttributeDecl
23,1,getGlobalAttributeGroupDecl
24,1,getGlobalElementDecl
25,1,getGlobalGroupDecl
26,1,getGlobalNotationDecl
27,1,getGlobalTypeDecl
28,1,getIDConstraintDecl
29,1,getGlobalDecl
30,1,getGlobalDeclFromGrammar
31,1,traverseGlobalDecl
32,1,schemaDocument2SystemId
33,1,getGrpOrAttrGrpRedefinedByRestriction
34,0,resolveKeyRefs
35,1,getIDRegistry
36,1,getIDRegistry_sub
37,1,storeKeyRef
38,1,resolveSchema
39,1,resolveSchemaSource
40,1,getSchemaDocument
41,1,getSchemaDocument0
42,1,getSchemaDocument1
43,0,expandGrammars
44,0,existingGrammars
45,0,canAddComponents
46,1,canAddComponent
47,0,addGrammars
48,1,addGrammarComponents
49,1,createGrammarFrom
50,0,addNewGrammarLocations
51,0,addNewImportedGrammars
52,0,updateImportList
53,1,addNewGrammarComponents
54,4,addGlobalElementDecls
55,4,addGlobalAttributeDecls
56,4,addGlobalAttributeGroupDecls
57,4,addGlobalNotationDecls
58,4,addGlobalGroupDecls
59,4,addGlobalTypeDecls
60,0,expandComponents
61,1,expandRelatedComponents
62,1,expandRelatedAttributeComponents
63,1,expandRelatedElementComponents
64,1,expandRelatedTypeComponents
65,1,expandRelatedModelGroupDefinitionComponents
66,1,expandRelatedAttributeGroupComponents
67,1,expandRelatedComplexTypeComponents
68,0,expandRelatedSimpleTypeComponents
69,0,expandRelatedAttributeUsesComponents
70,1,expandRelatedAttributeUseComponents
71,1,expandRelatedParticleComponents
72,0,expandRelatedModelGroupComponents
73,1,addRelatedType
74,1,addRelatedElement
75,1,addRelatedAttribute
76,0,addGlobalComponents
77,1,addGlobalComponent
78,1,updateImportDependencies
79,1,expandImportList
80,0,addImportList
81,0,containedImportedGrammar
82,1,getSchemaGrammar
83,1,findDependentNamespaces
84,1,addNamespaceDependency
85,1,reportSharingError
86,1,createTraversers
87,1,prepareForParse
88,0,prepareForTraverse
89,1,setDeclPool
90,1,setDVFactory
91,1,reset
92,0,traverseLocalElements
93,0,removeParticle
94,1,fillInLocalElemInfo
95,1,checkForDuplicateNames
96,1,renameRedefiningComponents
97,1,findQName
98,1,changeRedefineGroup
99,1,findXSDocumentForDecl
100,1,nonAnnotationContent
101,0,setSchemasVisible
102,1,element2Locator
103,1,reportSchemaError
104,1,reportSchemaWarning
105,0,retrieveInitialGrammarSet
106,1,cacheGrammars
107,1,retrieveGrammar
108,1,refreshGrammars
109,1,lockPool
110,1,unlockPool
111,1,clear
112,1,hashCode
113,1,equals
114,1,createXMLParseException0
115,1,createXNIException0
116,1,setGenerateSyntheticAnnotations
