,Cluster_ID,Method_Name
0,1,needFacetChecking
1,1,needExtraChecking
2,1,needToNormalize
3,1,useNamespaces
4,1,isEntityDeclared
5,1,isEntityUnparsed
6,1,isIdDeclared
7,1,addId
8,1,addIdRef
9,1,getSymbol
10,1,getURI
11,1,getLocale
12,1,getGDVs
13,1,setDVs
14,1,setRestrictionValues
15,1,setListValues
16,1,setUnionValues
17,1,getType
18,1,getTypeCategory
19,1,getName
20,1,getTypeName
21,1,getNamespace
22,1,getFinal
23,1,isFinal
24,1,getBaseType
25,1,getAnonymous
26,1,getVariety
27,0,isIDType
28,1,getWhitespace
29,1,getPrimitiveKind
30,1,getBuiltInKind
31,1,getPrimitiveType
32,1,getItemType
33,1,getMemberTypes
34,0,applyFacets
35,1,applyFacets1
36,1,validate
37,1,getActualEnumValue
38,1,validateWithInfo
39,0,checkFacets
40,0,checkExtraRules
41,0,getActualValue
42,1,isEqual
43,1,isIdentical
44,0,normalize
45,1,reportError
46,1,whiteSpaceValue
47,1,getOrdered
48,1,getBounded
49,1,getFinite
50,1,getNumeric
51,1,isDefinedFacet
52,1,getDefinedFacets
53,1,isFixedFacet
54,1,getFixedFacets
55,1,getLexicalFacetValue
56,0,getLexicalEnumeration
57,0,getActualEnumeration
58,1,getLength
59,0,contains
60,1,item
61,0,getEnumerationItemTypeList
62,0,getEnumerationTypeList
63,0,getLexicalPattern
64,1,getAnnotations
65,1,calcFundamentalFacets
66,0,setOrdered
67,0,setNumeric
68,0,setBounded
69,1,specialCardinalityCheck
70,0,setCardinality
71,1,getPrimitiveDV
72,1,derivedFromType
73,1,derivedFrom
74,1,isDOMDerivedFrom
75,0,isDerivedByAny
76,1,isDerivedByRestriction
77,1,isDerivedByList
78,0,isDerivedByUnion
79,1,setNSContext
80,1,reset
81,1,getNamespaceItem
82,1,setNamespaceItem
83,1,toString
84,1,getFacets
85,0,getFacet
86,1,getMultiValueFacets
87,1,getMinInclusiveValue
88,1,getMinExclusiveValue
89,1,getMaxInclusiveValue
90,1,getMaxExclusiveValue
91,1,setAnonymous
92,1,getAnnotation
93,1,getFacetKind
94,1,getActualFacetValue
95,1,getIntFacetValue
96,1,getFixed
97,1,getLexicalFacetValues
98,1,getEnumerationValues
99,1,get
100,1,size
101,1,getTypeNamespace
102,1,isDerivedFrom
103,1,convertToPrimitiveKind
104,0,appendEnumString
