,Cluster_ID,Method_Name
0,37,getGrammarDescription
1,24,setImportedGrammars
2,5,addGlobalAttributeDecl
3,5,addGlobalAttributeGroupDecl
4,5,addGlobalElementDecl
5,10,addGlobalElementDeclAll
6,5,addGlobalGroupDecl
7,5,addGlobalNotationDecl
8,5,addGlobalTypeDecl
9,5,addGlobalComplexTypeDecl
10,5,addGlobalSimpleTypeDecl
11,36,addComplexTypeDecl
12,0,addRedefinedGroupDecl
13,33,addDocument
14,3,getDOMParser
15,30,getSAXParser
16,32,createAnnotationElementDecl
17,2,createUnboundedModelGroupParticle
18,2,createChoiceElementParticle
19,23,createUnboundedAnyWildcardSequenceParticle
20,38,createAnyLaxWildcardParticle
21,1,isNamespaceAware
22,24,getImportedGrammars
23,21,getTargetNamespace
24,1,addIDConstraintDecl
25,1,getGlobalAttributeDecl
26,1,getGlobalAttributeGroupDecl
27,1,getGlobalElementDecl
28,1,getGlobalGroupDecl
29,1,getGlobalNotationDecl
30,1,getGlobalTypeDecl
31,1,getIDConstraintDecl
32,1,hasIDConstraints
33,4,getUncheckedComplexTypeDecls
34,4,getUncheckedCTLocators
35,0,getRedefinedGroupDecls
36,0,getRGLocators
37,35,setUncheckedTypeNum
38,10,getSubstitutionGroups
39,1,setValues
40,1,setName
41,1,setIsAbstractType
42,1,setContainsTypeID
43,1,setIsAnonymous
44,1,reset
45,29,getAnnotations
46,27,getNamespaceItem
47,13,createAttrGrp
48,11,createParticle
49,1,getAnnotation
50,31,getS4SGrammar
51,25,resize
52,34,removeDocument
53,21,getSchemaNamespace
54,8,getComponents
55,7,getComponentsExt
56,22,resetComponents
57,18,getTypeDefinition
58,17,getAttributeDeclaration
59,19,getElementDeclaration
60,12,getAttributeGroup
61,16,getModelGroupDefinition
62,14,getNotationDeclaration
63,15,getIDCDefinition
64,20,getDocumentLocations
65,6,toXSModel
66,9,addAnnotation
67,26,setImmutable
68,28,isImmutable
