,fTargetNamespace,fGlobalAttrDecls,fGlobalAttrGrpDecls,fGlobalElemDecls,fGlobalGroupDecls,fGlobalNotationDecls,fGlobalIDConstraintDecls,fGlobalTypeDecls,fGlobalAttrDeclsExt,fGlobalAttrGrpDeclsExt,fGlobalElemDeclsExt,fGlobalGroupDeclsExt,fGlobalNotationDeclsExt,fGlobalIDConstraintDeclsExt,fGlobalTypeDeclsExt,fAllGlobalElemDecls,fGrammarDescription,fAnnotations,fNumAnnotations,fSymbolTable,fSAXParser,fDOMParser,fIsImmutable,i,k,BASICSET_COUNT,FULLSET_COUNT,GRAMMAR_XS,GRAMMAR_XSI,EXTENDED_SCHEMA_FACTORY_CLASS,schemaFactory,length,typeDefinitions,i,xtd,name,tns,type,scope,anyURI,INSTANCE,annotationDecl,documentationDecl,appinfoDecl,annotationType,documentationType,appinfoType,annotationAttrs,documentationAttrs,appinfoAttrs,annotationIDAttr,documentationSourceAttr,documentationLangAttr,appinfoSourceAttr,otherAttrs,annotationParticle,annotationChoice,anyWCSequenceParticle,eDecl,particle,particle,particle,sequence,particle,anyWC,fImported,INITIAL_SIZE,INC_SIZE,fCTCount,fComplexTypeDecls,fCTLocators,REDEFINED_GROUP_INIT_SIZE,fRGCount,fRedefinedGroupDecls,fRGLocators,fFullChecked,fSubGroupCount,fSubGroups,fAnyType,wildcard,attrGrp,wildcard,particleW,group,particleG,SG_SchemaNS,SG_SchemaNSExtended,fAnySimpleType,SG_XSI,newArray,newArray,newArray,newArray,MAX_COMP_IDX,GLOBAL_COMP,fComponents,fComponentsExt,fDocuments,fLocations,parser,config,parser,parser,config,parser,table,table,entries,len,hasSelf,i,gs,i,newArray,getGrammarDescription,setImportedGrammars,addGlobalAttributeDecl,addGlobalAttributeDecl,addGlobalAttributeGroupDecl,addGlobalAttributeGroupDecl,addGlobalElementDecl,addGlobalElementDecl,addGlobalElementDeclAll,addGlobalGroupDecl,addGlobalGroupDecl,addGlobalNotationDecl,addGlobalNotationDecl,addGlobalTypeDecl,addGlobalTypeDecl,addGlobalComplexTypeDecl,addGlobalComplexTypeDecl,addGlobalSimpleTypeDecl,addGlobalSimpleTypeDecl,addComplexTypeDecl,addRedefinedGroupDecl,addDocument,getDOMParser,getSAXParser,getGrammarDescription,setImportedGrammars,addGlobalAttributeDecl,addGlobalAttributeDecl,addGlobalAttributeGroupDecl,addGlobalAttributeGroupDecl,addGlobalElementDecl,addGlobalElementDecl,addGlobalElementDeclAll,addGlobalGroupDecl,addGlobalGroupDecl,addGlobalNotationDecl,addGlobalNotationDecl,addGlobalTypeDecl,addGlobalTypeDecl,addGlobalComplexTypeDecl,addGlobalComplexTypeDecl,addGlobalSimpleTypeDecl,addGlobalSimpleTypeDecl,addComplexTypeDecl,addRedefinedGroupDecl,addDocument,getDOMParser,getSAXParser,createAnnotationElementDecl,createUnboundedModelGroupParticle,createChoiceElementParticle,createUnboundedAnyWildcardSequenceParticle,createAnyLaxWildcardParticle,getGrammarDescription,isNamespaceAware,setImportedGrammars,getImportedGrammars,getTargetNamespace,addGlobalAttributeDecl,addGlobalAttributeDecl,addGlobalAttributeGroupDecl,addGlobalAttributeGroupDecl,addGlobalElementDeclAll,addGlobalElementDecl,addGlobalElementDecl,addGlobalGroupDecl,addGlobalGroupDecl,addGlobalNotationDecl,addGlobalNotationDecl,addGlobalTypeDecl,addGlobalTypeDecl,addGlobalComplexTypeDecl,addGlobalComplexTypeDecl,addGlobalSimpleTypeDecl,addGlobalSimpleTypeDecl,addIDConstraintDecl,addIDConstraintDecl,getGlobalAttributeDecl,getGlobalAttributeDecl,getGlobalAttributeGroupDecl,getGlobalAttributeGroupDecl,getGlobalElementDecl,getGlobalElementDecl,getGlobalGroupDecl,getGlobalGroupDecl,getGlobalNotationDecl,getGlobalNotationDecl,getGlobalTypeDecl,getGlobalTypeDecl,getIDConstraintDecl,getIDConstraintDecl,hasIDConstraints,addComplexTypeDecl,addRedefinedGroupDecl,getUncheckedComplexTypeDecls,getUncheckedCTLocators,getRedefinedGroupDecls,getRGLocators,setUncheckedTypeNum,getSubstitutionGroups,setValues,setName,setIsAbstractType,setContainsTypeID,setIsAnonymous,reset,getAnnotations,getNamespaceItem,createAttrGrp,createParticle,setValues,reset,getAnnotation,getNamespaceItem,getS4SGrammar,resize,resize,resize,resize,addDocument,removeDocument,getSchemaNamespace,getDOMParser,getSAXParser,getComponents,getComponentsExt,resetComponents,getTypeDefinition,getAttributeDeclaration,getElementDeclaration,getAttributeGroup,getModelGroupDefinition,getNotationDeclaration,getIDCDefinition,getDocumentLocations,toXSModel,toXSModel,getAnnotations,addAnnotation,setImmutable,isImmutable
getGrammarDescription,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
setImportedGrammars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addGlobalAttributeDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addGlobalAttributeGroupDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addGlobalElementDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addGlobalElementDeclAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addGlobalGroupDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addGlobalNotationDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addGlobalTypeDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addGlobalComplexTypeDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
